userId,10 Things I Hate About You (1999),12 Angry Men (1957),2001: A Space Odyssey (1968),28 Days Later (2002),300 (2007),"40-Year-Old Virgin, The (2005)",A.I. Artificial Intelligence (2001),"Abyss, The (1989)",Ace Ventura: Pet Detective (1994),Ace Ventura: When Nature Calls (1995),Addams Family Values (1993),Air Force One (1997),Airplane! (1980),Aladdin (1992),Alien (1979),Aliens (1986),Almost Famous (2000),Amadeus (1984),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",American Beauty (1999),American History X (1998),American Pie (1999),"American President, The (1995)",American Psycho (2000),Anchorman: The Legend of Ron Burgundy (2004),Animal House (1978),Annie Hall (1977),Apocalypse Now (1979),Apollo 13 (1995),Arachnophobia (1990),Armageddon (1998),Army of Darkness (1993),As Good as It Gets (1997),Austin Powers in Goldmember (2002),Austin Powers: International Man of Mystery (1997),Austin Powers: The Spy Who Shagged Me (1999),Avatar (2009),"Avengers, The (2012)",Babe (1995),Back to the Future (1985),Back to the Future Part II (1989),Back to the Future Part III (1990),Bad Boys (1995),Batman (1989),Batman Begins (2005),Batman Forever (1995),Batman Returns (1992),"Beautiful Mind, A (2001)",Beauty and the Beast (1991),Beetlejuice (1988),Being John Malkovich (1999),Best in Show (2000),Beverly Hills Cop III (1994),Big (1988),Big Fish (2003),"Big Lebowski, The (1998)","Birdcage, The (1996)",Black Hawk Down (2001),Blade (1998),Blade Runner (1982),"Blair Witch Project, The (1999)",Blazing Saddles (1974),Blood Diamond (2006),Blow (2001),"Blues Brothers, The (1980)",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),"Bourne Identity, The (2002)","Bourne Supremacy, The (2004)","Bourne Ultimatum, The (2007)",Bowling for Columbine (2002),Braveheart (1995),Brazil (1985),"Breakfast Club, The (1985)",Bridget Jones's Diary (2001),Broken Arrow (1996),Bruce Almighty (2003),"Bug's Life, A (1998)",Butch Cassidy and the Sundance Kid (1969),"Cable Guy, The (1996)",Caddyshack (1980),Casablanca (1942),Casino (1995),Casino Royale (2006),Casper (1995),Cast Away (2000),Catch Me If You Can (2002),Charlie and the Chocolate Factory (2005),Charlie's Angels (2000),Chasing Amy (1997),Chicken Run (2000),Children of Men (2006),Chinatown (1974),"Christmas Story, A (1983)","Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",Citizen Kane (1941),City Slickers II: The Legend of Curly's Gold (1994),City of God (Cidade de Deus) (2002),Clear and Present Danger (1994),Clerks (1994),"Client, The (1994)",Cliffhanger (1993),"Clockwork Orange, A (1971)",Close Encounters of the Third Kind (1977),Clueless (1995),Con Air (1997),Coneheads (1993),Congo (1995),Contact (1997),Cool Hand Luke (1967),Crash (2004),Crimson Tide (1995),Crocodile Dundee (1986),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Crow, The (1994)",Dances with Wolves (1990),"Dark Knight Rises, The (2012)","Dark Knight, The (2008)",Dave (1993),"Day After Tomorrow, The (2004)",Dead Man Walking (1995),Dead Poets Society (1989),Deadpool (2016),Demolition Man (1993),"Departed, The (2006)",Desperado (1995),Die Hard (1988),Die Hard 2 (1990),Die Hard: With a Vengeance (1995),Disclosure (1994),District 9 (2009),Django Unchained (2012),Dogma (1999),Donnie Brasco (1997),Donnie Darko (2001),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Dragonheart (1996),Dumb & Dumber (Dumb and Dumber) (1994),E.T. the Extra-Terrestrial (1982),Ed Wood (1994),Edward Scissorhands (1990),Election (1999),Enemy of the State (1998),Eraser (1996),Erin Brockovich (2000),Eternal Sunshine of the Spotless Mind (2004),"Exorcist, The (1973)",Eyes Wide Shut (1999),Face/Off (1997),Fantasia (1940),Fargo (1996),Ferris Bueller's Day Off (1986),"Few Good Men, A (1992)",Field of Dreams (1989),"Fifth Element, The (1997)",Fight Club (1999),Finding Nemo (2003),"Firm, The (1993)",First Knight (1995),"Fish Called Wanda, A (1988)",Forrest Gump (1994),Four Weddings and a Funeral (1994),From Dusk Till Dawn (1996),"Fugitive, The (1993)",Full Metal Jacket (1987),"Full Monty, The (1997)",Galaxy Quest (1999),"Game, The (1997)",Gangs of New York (2002),Gattaca (1997),Get Shorty (1995),Ghost (1990),Ghostbusters (a.k.a. Ghost Busters) (1984),Gladiator (2000),"Godfather, The (1972)","Godfather: Part II, The (1974)",GoldenEye (1995),Goldfinger (1964),Gone in 60 Seconds (2000),Good Will Hunting (1997),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Goodfellas (1990),"Goonies, The (1985)","Graduate, The (1967)","Grand Budapest Hotel, The (2014)",Grease (1978),"Green Mile, The (1999)",Grosse Pointe Blank (1997),Groundhog Day (1993),Grumpier Old Men (1995),Guardians of the Galaxy (2014),"Hangover, The (2009)",Happy Gilmore (1996),Harry Potter and the Chamber of Secrets (2002),Harry Potter and the Deathly Hallows: Part 2 (2011),Harry Potter and the Goblet of Fire (2005),Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Prisoner of Azkaban (2004),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Heat (1995),High Fidelity (2000),Home Alone (1990),"Honey, I Shrunk the Kids (1989)",Hook (1991),Hot Fuzz (2007),Hot Shots! Part Deux (1993),How to Train Your Dragon (2010),"Hunt for Red October, The (1990)",I Am Legend (2007),"I, Robot (2004)",Ice Age (2002),In the Line of Fire (1993),Inception (2010),"Incredibles, The (2004)",Independence Day (a.k.a. ID4) (1996),Indiana Jones and the Last Crusade (1989),Indiana Jones and the Temple of Doom (1984),Inglourious Basterds (2009),Interstellar (2014),Interview with the Vampire: The Vampire Chronicles (1994),Iron Man (2008),It's a Wonderful Life (1946),"Italian Job, The (2003)",Jaws (1975),Jerry Maguire (1996),Johnny Mnemonic (1995),Judge Dredd (1995),Jumanji (1995),"Jungle Book, The (1967)",Juno (2007),Jurassic Park (1993),Kill Bill: Vol. 1 (2003),Kill Bill: Vol. 2 (2004),"King's Speech, The (2010)",Knocked Up (2007),Kung Fu Panda (2008),L.A. Confidential (1997),Lady and the Tramp (1955),Last Action Hero (1993),"Last Samurai, The (2003)",Leaving Las Vegas (1995),Legally Blonde (2001),Legends of the Fall (1994),Lethal Weapon (1987),Liar Liar (1997),Life Is Beautiful (La Vita è bella) (1997),"Lion King, The (1994)","Little Mermaid, The (1989)",Little Miss Sunshine (2006),"Lock, Stock & Two Smoking Barrels (1998)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)","Lost World: Jurassic Park, The (1997)",Lost in Translation (2003),Love Actually (2003),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Magnolia (1999),Mars Attacks! (1996),Mary Poppins (1964),"Mask of Zorro, The (1998)","Mask, The (1994)","Matrix Reloaded, The (2003)","Matrix Revolutions, The (2003)","Matrix, The (1999)",Maverick (1994),Meet the Parents (2000),Memento (2000),Men in Black (a.k.a. MIB) (1997),Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Million Dollar Baby (2004),Minority Report (2002),Miss Congeniality (2000),Mission: Impossible (1996),Mission: Impossible II (2000),"Monsters, Inc. (2001)",Monty Python and the Holy Grail (1975),Monty Python's Life of Brian (1979),Moulin Rouge (2001),Mr. & Mrs. Smith (2005),Mr. Holland's Opus (1995),Mrs. Doubtfire (1993),Mulholland Drive (2001),"Mummy, The (1999)",My Big Fat Greek Wedding (2002),My Cousin Vinny (1992),Mystic River (2003),Naked Gun 33 1/3: The Final Insult (1994),Natural Born Killers (1994),"Net, The (1995)","Nightmare Before Christmas, The (1993)",No Country for Old Men (2007),North by Northwest (1959),Notting Hill (1999),"Nutty Professor, The (1996)","O Brother, Where Art Thou? (2000)",Ocean's Eleven (2001),Office Space (1999),One Flew Over the Cuckoo's Nest (1975),"Others, The (2001)",Outbreak (1995),"Pan's Labyrinth (Laberinto del fauno, El) (2006)","Patriot, The (2000)",Philadelphia (1993),"Piano, The (1993)",Pinocchio (1940),Pirates of the Caribbean: At World's End (2007),Pirates of the Caribbean: Dead Man's Chest (2006),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Planet of the Apes (1968),Platoon (1986),Pleasantville (1998),Pocahontas (1995),Predator (1987),"Prestige, The (2006)",Pretty Woman (1990),"Princess Bride, The (1987)",Psycho (1960),Pulp Fiction (1994),Quiz Show (1994),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Rain Man (1988),Raising Arizona (1987),Ratatouille (2007),Rear Window (1954),Requiem for a Dream (2000),Reservoir Dogs (1992),Robin Hood: Men in Tights (1993),RoboCop (1987),"Rock, The (1996)",Rocky (1976),"Rocky Horror Picture Show, The (1975)",Romancing the Stone (1984),"Royal Tenenbaums, The (2001)",Run Lola Run (Lola rennt) (1998),Rushmore (1998),Sabrina (1995),"Santa Clause, The (1994)",Saving Private Ryan (1998),Scarface (1983),Scary Movie (2000),Schindler's List (1993),School of Rock (2003),Scream (1996),Sense and Sensibility (1995),Serenity (2005),Seven (a.k.a. Se7en) (1995),Shakespeare in Love (1998),Shaun of the Dead (2004),"Shawshank Redemption, The (1994)",Sherlock Holmes (2009),"Shining, The (1980)",Shrek (2001),Shrek 2 (2004),Shutter Island (2010),Signs (2002),"Silence of the Lambs, The (1991)",Sin City (2005),"Sixth Sense, The (1999)",Skyfall (2012),Sleepless in Seattle (1993),Sleepy Hollow (1999),Slumdog Millionaire (2008),Snatch (2000),Snow White and the Seven Dwarfs (1937),"Social Network, The (2010)",Some Like It Hot (1959),"Sound of Music, The (1965)","South Park: Bigger, Longer and Uncut (1999)",Space Jam (1996),Spaceballs (1987),Speed (1994),Spider-Man (2002),Spider-Man 2 (2004),Spirited Away (Sen to Chihiro no kamikakushi) (2001),Splash (1984),Stand by Me (1986),Star Trek (2009),Star Trek II: The Wrath of Khan (1982),Star Trek: First Contact (1996),Star Trek: Generations (1994),Star Wars: Episode I - The Phantom Menace (1999),Star Wars: Episode II - Attack of the Clones (2002),Star Wars: Episode III - Revenge of the Sith (2005),Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),Stargate (1994),Starship Troopers (1997),"Sting, The (1973)",Super Size Me (2004),Superbad (2007),Superman (1978),Taxi Driver (1976),Terminator 2: Judgment Day (1991),"Terminator, The (1984)",The Devil's Advocate (1997),The Hunger Games (2012),The Imitation Game (2014),There's Something About Mary (1998),This Is Spinal Tap (1984),"Three Musketeers, The (1993)",Titanic (1997),To Kill a Mockingbird (1962),Tombstone (1993),Tommy Boy (1995),Top Gun (1986),Total Recall (1990),Toy Story (1995),Toy Story 2 (1999),Toy Story 3 (2010),Traffic (2000),Training Day (2001),Trainspotting (1996),Tron (1982),True Lies (1994),True Romance (1993),"Truman Show, The (1998)","Truth About Cats & Dogs, The (1996)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Twister (1996),Unbreakable (2000),"Untouchables, The (1987)",Up (2009),"Usual Suspects, The (1995)",V for Vendetta (2006),Vertigo (1958),WALL·E (2008),Wallace & Gromit: The Wrong Trousers (1993),War of the Worlds (2005),Waterworld (1995),Wayne's World (1992),Wedding Crashers (2005),"Wedding Singer, The (1998)",What Women Want (2000),What's Eating Gilbert Grape (1993),When Harry Met Sally... (1989),While You Were Sleeping (1995),Who Framed Roger Rabbit? (1988),Wild Wild West (1999),Willy Wonka & the Chocolate Factory (1971),"Wizard of Oz, The (1939)","Wolf of Wall Street, The (2013)",X-Men (2000),X-Men: The Last Stand (2006),X2: X-Men United (2003),You've Got Mail (1998),Young Frankenstein (1974),Zombieland (2009),Zoolander (2001)
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,5.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,4.0,,
432,3.5,,,,4.0,4.0,,,1.5,2.0,,,,,4.0,4.0,,,3.5,3.5,4.5,3.0,,,,,,,,,3.0,,,,,0.5,4.0,,,,,,,,,3.5,,4.5,4.0,,,,,,,,,,,,,,2.5,,,,4.5,,3.5,,4.0,,,,,,,,,,5.0,,4.0,,3.5,4.0,,,,,1.5,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,4.5,,4.0,,,3.5,4.5,,,2.5,,2.0,,2.0,,,,,,,,,,3.0,,,,,,,,5.0,3.5,,,,,4.5,,2.5,3.5,3.5,,4.5,,4.5,,,,,,,4.5,,4.0,,4.5,,4.5,4.0,4.0,,,3.5,4.5,,,,,,,4.0,,,,,4.5,,,,,,,,,,,,,,,,,3.5,,4.0,,,4.5,,1.5,,,,,4.5,4.5,,4.5,4.0,,,,4.0,,,4.5,2.5,2.5,,,3.5,,3.0,,4.5,4.5,,,,,,5.0,,,,3.5,4.0,4.0,,,2.5,3.5,,,,,2.5,4.0,4.0,3.5,,,3.5,,,4.0,4.0,,4.0,3.0,4.0,,,,,,3.5,,,,,3.0,,,4.5,,,,,,,3.5,,,4.5,,4.0,3.5,,,,,,0.5,,,,,,4.5,4.0,,,2.5,,,4.5,,,,5.0,,,,,,,,,,,,,,,,4.5,,,,,4.0,3.5,,3.0,3.5,3.0,4.5,4.5,4.5,,4.0,3.5,4.0,,,,4.0,,,,,,,,,,2.5,,,,,,,,,4.0,4.0,4.0,3.5,3.5,3.5,,,,,,,,3.5,3.5,4.0,,,,,,4.0,,,,,,2.5,2.0,4.0,,,3.5,,,,,,,,,,4.0,3.0,4.0,,4.0,,,,,3.5,,,,,,,,,,,4.0,,4.0,,,,
433,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,2.5,,,,,3.0,,,4.5,,,,,3.0,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,4.5,4.5,3.5,3.5,,,3.0,,,,3.5,4.0,5.0,5.0,,,,5.0,5.0,2.0,,,,,,3.5,5.0,2.5,2.5,,,,4.0,3.5,5.0,,3.5,3.5,3.5,3.5,,,4.5,,,4.0,,3.0,,,,,,4.5,,,,5.0,3.0,,,,,5.0,4.0,4.0,,4.0,4.5,,,,2.0,,,,,,,,4.0,,3.0,3.5,,,,,5.0,,,2.0,,,5.0,3.5,,,2.5,4.5,3.5,3.0,,,,2.5,,4.0,,,4.5,,,,5.0,,,,4.0,,,5.0,3.0,4.5,,,,5.0,,4.5,3.5,5.0,4.0,,4.0,,,4.0,,2.0,,,4.0,,,,,5.0,3.5,,,5.0,5.0,4.0,,,,4.5,,,,5.0,,,,,,,3.0,5.0,3.5,5.0,,3.5,,,4.5,,4.5,,,,,4.5,,5.0,,,4.5,,,,3.5,,,,2.5,4.0,,3.0,3.5,,3.5,,,,3.0,,2.5,,,4.5,2.5,4.5,4.5,5.0,,,4.0,,,4.0,3.5,,,2.5,,3.5,5.0,4.0,4.5,,,,,,,3.5,,,,,2.0,,,,4.0,3.5,5.0,5.0,5.0,,4.0,,4.5,2.0,3.5,,,2.0,2.0,2.5,5.0,,3.5,5.0,3.5,,,3.0,,4.0,2.0,4.5,5.0,,,,,2.0,,,2.5,,4.5,,,,,5.0,,,1.0,,4.0,4.5,4.5,,3.0,5.0,2.5,,,,,1.5,,,5.0,,,4.0,4.0,,4.0,,5.0,,,,,4.0,,,4.0,,,3.0,,,,4.5,,3.5,,,5.0,4.0,,5.0,3.5,3.0,,,4.0,,4.5,4.0,3.5,5.0,3.0,2.5,4.5,2.5,4.0,,5.0,,,,4.5,5.0,,,,,4.5,,,,3.5,2.5,5.0,,,3.0,,,,0.5,1.0,1.0,5.0,5.0,4.5,3.5,,,,,,5.0,4.5,3.5,,,,3.5,,,3.0,,,,3.5,4.0,4.0,,,4.5,,4.5,,2.5,,,,3.5,2.5,4.0,4.0,3.5,,4.0,,3.5,,,2.5,,,,,,,,,,4.5,,,4.5,,4.0,,,4.0,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,3.5,,,,,,,,,,,,,,,,,4.5,,,4.0,,3.5,,,,,,,,5.0,,,,,,,,,,,,,,,,,,4.5,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,4.5,5.0,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.5,,,,,,,,,,4.5,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,,,,4.5,,,,,,,,5.0,5.0,,4.5,,,,,,,,,,,,4.5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,1.0,,3.0,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,3.0,3.0,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,3.0,,4.0,3.0,,,,,3.0,,,,,4.0,,,,,,,4.0,,,,,3.0,,,,,3.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,3.0,,,4.0,,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,3.0,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,,4.0,,,,,,,,,,3.0,,,4.0,,4.0,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,4.0,,,,,,,3.0,,,,3.0,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,3.0,,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,5.0,4.0,,,,,,,,,,,4.0,,,,3.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,,,,,,5.0,,,3.0,,4.0,3.0,,,,,,,,3.0,,,,,,,,,3.0,,,,,3.0,,,,,,,5.0,,,3.0,,,,2.0,2.0,,3.0,3.0,,,,,,,,,,3.0,,,,,,,,,,5.0,,4.0,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,4.0,,,,,,5.0,,,,,,4.0,,5.0,5.0,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,4.0,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,5.0,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,5.0,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,
438,,,,,5.0,,3.0,,4.0,3.0,,3.5,,4.0,,,4.0,,,,,3.5,4.0,,,3.5,,,4.0,,3.0,,4.0,3.5,3.5,3.5,,,,4.0,4.0,3.0,5.0,4.0,4.5,3.0,3.0,4.0,4.0,,,,3.0,3.5,3.5,2.5,4.0,4.5,4.0,,,,,3.0,,3.0,4.5,3.5,,3.5,4.5,,,,3.5,3.0,4.0,,,,,,4.0,,3.5,3.5,,3.0,4.0,,3.0,,,,,,,,3.5,,,,,,3.5,,,3.5,,4.5,,,5.0,4.0,3.0,,,3.5,4.0,,,,3.5,4.5,,4.0,4.5,4.0,2.5,,,4.0,,,,3.5,,,,,,4.0,3.0,3.5,4.0,,3.0,4.0,,,4.0,,4.0,4.5,3.5,4.0,,3.5,,4.0,,3.0,4.0,,,3.5,,0.5,4.5,3.5,,,5.0,,,4.0,,3.5,4.5,,,,,,,,4.0,4.0,,,,4.0,4.0,,4.0,,,4.5,4.0,5.0,,,,3.5,,3.0,,,,4.0,4.5,,,5.0,3.5,,,,,,,,4.0,,4.0,,2.5,,,,4.0,4.5,4.0,,,,5.0,,,4.5,,3.5,,,3.5,,4.5,3.5,,,3.0,4.0,4.0,,4.0,4.5,,,,,3.5,3.0,3.5,3.5,5.0,,4.0,4.5,4.0,2.0,4.0,2.0,3.5,4.0,3.5,4.0,,,4.5,2.0,4.0,3.5,,4.0,3.0,4.5,,,,2.0,,,,,,,4.0,3.5,,,3.5,,4.0,4.0,,,,,5.0,,,3.5,,,4.0,4.0,,,,,,,,,,,,,,4.5,4.0,,,,,,,3.5,4.0,,3.5,4.5,4.0,,,4.0,,,,5.0,,,4.5,5.0,,,,4.0,4.0,,3.5,,,3.5,4.0,,,,4.0,3.5,3.5,4.0,4.0,4.5,,,,,,5.0,3.5,3.0,3.5,3.5,5.0,5.0,5.0,3.5,4.0,,4.0,,4.0,,5.0,4.0,,,,,,4.0,3.0,,,,4.0,,4.5,4.5,,,3.0,,,5.0,,4.0,,4.0,3.0,4.5,4.5,,,4.0,,,,2.0,3.0,,4.0,2.0,3.5,,,3.0,3.0,2.0,,,,4.0,0.5,4.0,4.0,,,2.5
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,4.0,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,4.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,4.0,,,4.5,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,,,4.5,4.5,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,4.0,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,5.0,,,,4.5,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,5.0,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,4.5,,,,,,,,,,,,,,,0.5,,,,,4.5,,5.0,,,,4.5,,,,4.5,,,,,,,,,,,,,,,,,,,,,4.5,,,,4.5,,,5.0,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,4.0,,,,,,4.0,
442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
